model,scope,fold,cohort_type,threshold,case_count,macro_case_dice,median_case_dice,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice,voxel_sensitivity,voxel_precision,tp,fp,fn
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.9,251,0.4157820174817186,0.4722100656455142,64,101,0.3790500285156441,0.26945701645906905,0.6389036115684659,317031.0,179180.0,859524.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.05,366,0.701609874571691,0.7700964653766935,15,29,0.8079547835354259,0.905434231365846,0.7294246090999777,7664556.0,2843118.0,800505.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.1,366,0.7061114585406613,0.7736275824378789,15,29,0.8214426830307493,0.8905137245909982,0.7623151273416917,7538253.0,2350378.0,926808.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.2,366,0.7089241679235061,0.7764732522068911,16,29,0.83018486319433,0.8747646354822487,0.7899285111185665,7404936.0,1969249.0,1060125.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.3,366,0.7099544691140854,0.7779823379446844,16,29,0.8337259922898029,0.8637923577869079,0.8056822872213713,7312055.0,1763551.0,1153006.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.4,366,0.7104674604772381,0.7789871877333983,17,29,0.8356875227297609,0.8544068377061902,0.8177708701225898,7232606.0,1611688.0,1232455.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.5,366,0.7105070800479854,0.7807896352610846,17,29,0.8366663107821434,0.8452060770737505,0.8282973859860047,7154721.0,1483144.0,1310340.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.6,366,0.7103834997604835,0.7815727353879656,17,30,0.836882534778541,0.8353795678495406,0.8383909195585452,7071539.0,1363117.0,1393522.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.7,366,0.7100609288318244,0.7823504969483316,17,30,0.8363266779523153,0.8233963110248113,0.8496696331942268,6970100.0,1233206.0,1494961.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.8,366,0.7091028200300866,0.7793574613048162,18,31,0.8341487424126107,0.8069293298654315,0.8632685961442801,6830706.0,1081902.0,1634355.0
nnUNetResEnc_Layer1_sourceaware,fold,3,pca,0.9,366,0.7060003290754512,0.7809931836556505,18,31,0.8259874274670632,0.775755898274094,0.8831744956676602,6566821.0,868653.0,1898240.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.05,617,0.6005009305615776,0.699711046899311,49,111,0.7662873472798747,0.8348524442318539,0.7081297801924893,8531287.0,3516345.0,1687629.0
